  15      358A  alpha   And  61   4 00 08 23 +29 05.4 B8 IVp        2.06 -0.11b*
  21      432A   beta   Cas   7  20 00 09 11 +59 09.0 F2 III-IV     2.27 +0.34b*
  25      496   epsil   Phe   3     00 09 25 -45 44.9 K0 III        3.88 +1.036
  26      560AB    34   Psc   4     00 10 02 +11 08.8 B9 Vn         5.51 -0.076*
  63     1280   theta   And   7     00 17 05 +38 40.9 A2 V          4.61 +0.066*
  74     1522A   iota   Cet   8   8 00 19 26 -08 49.4 K1.5 III      3.56 +1.22b*
  98     2151    beta   Hyi   4   5 00 25 45 -77 15.3 G2 IV         2.80 +0.62b
  99     2261   alpha   Phe   4  14 00 26 17 -42 18.4 K0 III        2.39 +1.09b
 100     2262   kappa   Phe   6   6 00 26 12 -43 40.8 A7 V          3.94 +0.17b
 114     2628AB    28   And   5   6 00 30 07 +29 45.1 A7 III        5.23 +0.24b*
 153     3360    zeta   And   7   4 00 36 58 +53 53.8 B2 IV         3.66 -0.20b*
 163     3546   epsil   And  14   6 00 38 33 +29 18.7 G8 IIIp       4.37 +0.87b
 165     3627A  delta   And  18   9 00 39 20 +30 51.7 K3 III        3.27 +1.28b
 168     3712A  alpha   Cas   8   6 00 40 30 +56 32.3 K0 IIIa       2.23 +1.17b
 180     3919      mu   Phe   3     00 41 20 -46 05.1 G8 III        4.59 +0.976
 188     4128    beta   Cet  12  10 00 43 35 -17 59.2 K0 III        2.04 +1.02b*
 197     4247                 4     00 44 44 -22 00.4 F1 III-IV     5.24 +0.336
 205     4335                21     00 46 11 +44 51.7 B9.5 IIIp     6.05 -0.076
 219     4614AB   eta   Cas  20   3 00 49 06 +57 49.0 G0 V+dM0      3.44 +0.57b*
 220     4622                 9     00 48 01 -21 43.4 B9 V          5.57 -0.066
 234     4778                55     00 50 18 +45 00.1 A0p           6.15 +0.016*
 265     5395   upsil2  Cas   6   5 00 56 40 +59 10.9 G8.5 IIIb     4.63 +0.96b
 269     5448      mu   And   6  16 00 56 45 +38 30.0 A5 V          3.87 +0.13b
 285     5848A      2   UMi  13  11 01 08 45 +86 15.4 K2 II-III     4.25 +1.21b
 322     6595AB  beta   Phe   3     01 06 05 -46 43.1 G8 IIIb       3.31 +0.896*
 334     6805A    eta   Cet   9   2 01 08 35 -10 10.9 K1.5 III      3.45 +1.16b
 337     6860A   beta   And  31 403 01 09 44 +35 37.2 M0 IIIa       2.06 +1.58b*
 382     7927A    phi   Cas   6   7 01 20 05 +58 13.9 F0 Ia         4.98 +0.68b
 402     8512A  theta   Cet   8   8 01 24 01 -08 11.0 K0 IIIb       3.60 +1.06b
 403     8538A  delta   Cas   7  11 01 25 49 +60 14.1 A3 III-IV     2.68 +0.13b*
 439     9352                 2     01 33 26 +58 19.7 K0 Ib+B9 V    5.70 +1.526
 440     9362   delta   Phe   4     01 31 15 -49 04.4 K0 III-IV     3.95 +0.996
 442     9408     chi   Cas   6   5 01 33 56 +59 13.9 G9 IIIb       4.71 +1.00b
 461     9900                 2     01 38 07 +57 58.7 G5 II         5.56 +1.386
 472    10144   alpha   Eri   5  43 01 37 43 -57 14.2 B3 Vpe        0.46 -0.16b*
 509    10700A    tau   Cet  17   2 01 44 04 -15 56.3 G8 V          3.50 +0.72b
 520    10939                 6     01 46 06 -53 31.3 A1 V          5.04 +0.046
 539    11353A   zeta   Cet   8     01 51 28 -10 20.1 K0 III        3.73 +1.146*
 545/6  11502/3  gam1,2 Ari   4     01 53 32 +19 17.6 B9 V+A1p      3.87 -0.046*
 553    11636    beta   Ari  20  21 01 54 38 +20 48.5 A5 V          2.64 +0.13b*
 566    11937AB   chi   Eri   3     01 55 57 -51 36.5 G8 IIIb       3.70 +0.856*
 569    11973A  lambd   Ari   6     01 57 56 +23 35.8 F0 V          4.79 +0.286*
 580    12216      50   Cas  15   2 02 03 26 +72 25.3 A2 V          3.98 -0.01b*
 585    12274   upsil   Cet   4     02 00 00 -21 04.7 M0.5 III      4.00 +1.576
 591    12311   alpha   Hyi   6     01 58 46 -61 34.2 F0 V          2.86 +0.286
 603/4  12533/4  gam1,2 And   7   4 02 03 54 +42 19.8 K3IIb+B8V+A0V 2.16 +1.17b*
 613    12869   kappa   Ari   4     02 06 34 +22 38.9 A2m           5.03 +0.116
 617    12929   alpha   Ari   7  10 02 07 10 +23 27.8 K2 IIIb       2.00 +1.15b*
 623    13174      14   Ari   3     02 09 25 +25 56.4 F2 III        4.98 +0.336
 669    14191   theta   Ari   5     02 18 08 +19 54.1 A1 Vn         5.62 +0.016
